Gene	strand	SwitchScore	Tissue1	Tissue1Inc	Tissue2	Tissue2Inc	GeneDescription	chr	start	end	Event_hg18
AK2,AK2A	-	0.52	cerebellum	0.54	testes	0.02	adenylate kinase 2 isoform b,Homo sapiens AK2A m	chr1	33031543	33031661	chr1:33269732-33269849:-
KIAA0319L	-	0.32	cerebellum	1	brain	0.68	polycystic kidney disease 1-like isoform a,polycystic	chr1	35442245	35442336	chr1:35680434-35680524:-
KIAA0319L	-	0.25	cerebellum	1	BT474	0.75	polycystic kidney disease 1-like isoform a,polycystic	chr1	35444160	35444303	chr1:35682349-35682491:-
KIAA0319L	-	0.3	cerebellum	1	lymphNode	0.71	polycystic kidney disease 1-like isoform a,polycystic	chr1	35448172	35448332	chr1:35686361-35686520:-
KIAA0319L	-	0.31	cerebellum	1	BT474	0.69	polycystic kidney disease 1-like isoform a,polycystic	chr1	35506611	35507135	chr1:35744800-35745323:-
NCDN	+	0.78	cerebellum	0.22	HME	1.00	neurochondrin isoform 1,neurochondrin isoform 2,	chr1	35558155	35558223	chr1:35796344-35796411:+
NCDN	+	0.94	cerebellum	0.06	HME	1.00	neurochondrin isoform 1,neurochondrin isoform 2,	chr1	35558155	35558484	chr1:35796344-35796672:+
MAP7D1	+	0.37	cerebellum	1	MB435	0.63	arginine/proline rich coiled-coil 1,arginine/proline rich	chr1	36174897	36175008	chr1:36413086-36413196:+
THRAP3	+	0.25	cerebellum	1	T47D	0.75	thyroid hormone receptor associated protein 3,thyro	chr1	36259381	36259484	chr1:36497570-36497672:+
STK40	-	0.48	MB435	0.26	skelMuscle	0.74	Serine/threonine-protein kinase 40 (EC 2.7.11.1) (SI	chr1	36367847	36368084	chr1:36606036-36606272:-
DNALI1	+	0.28	cerebellum	1	T47D	0.72	dynein, axonemal, light intermediate chain 1	chr1	37559326	37561735	chr1:37797515-37799923:+
FHL3	-	0.28	breast	1	MCF7	0.72	four and a half LIM domains 3,four and a half LIM d	chr1	37997962	37998132	chr1:38236222-38236391:-
KIAA0465,MACF1	+	0.85	MB435	0.01	heart	0.86	microfilament and actin filament cross-linker,microfil	chr1	39469546	39469615	chr1:39707806-39707874:+
KIAA0465,MACF1	+	0.26	cerebellum	0.01	HME	0.27	microfilament and actin filament cross-linker,microfil	chr1	39480919	39481030	chr1:39719179-39719289:+
PPT1	-	0.26	cerebellum	1	breast	0.74	palmitoyl-protein thioesterase 1	chr1	40076841	40076913	chr1:40315101-40315172:-
CTPS	+	0.62	MCF7	1	lymphNode	0.38	NA	chr1	41007448	41007545	chr1:41245708-41245804:+
SCMH1	-	0.35	breast	1	MB435	0.65	sex comb on midleg homolog 1 isoform 2,sex comb	chr1	41186120	41186250	chr1:41424380-41424509:-
FOXJ3	-	0.37	skelMuscle	1	testes	0.63	forkhead box J3,forkhead box J3,	chr1	42278347	42278672	chr1:42516606-42516930:-
YBX1	+	0.27	BT474	1	skelMuscle	0.73	nuclease sensitive element binding protein 1	chr1	42696198	42696288	chr1:42934457-42934546:+
C1orf50	+	0.46	breast	1	testes	0.54	hypothetical protein LOC79078	chr1	42767508	42767624	chr1:43005767-43005882:+
C1orf50	+	0.31	cerebellum	0.7	HME	1.00	hypothetical protein LOC79078	chr1	42773562	42773649	chr1:43011821-43011907:+
TIE1	+	0.35	breast	0.52	testes	0.87	tyrosine kinase with immunoglobulin-like and	chr1	43307795	43307924	chr1:43546054-43546182:+
ELOVL1	-	0.33	T47D	0.43	adipose	0.10	elongation of very long chain fatty acids,elongation	chr1	43366267	43366416	chr1:43604526-43604674:-
HT036-ISO,RP11-5	-	0.38	cerebellum	0.84	MB435	0.47	Novel protein (HT036).,Homo sapiens HT036-ISO (H	chr1	43452902	43453004	chr1:43691161-43691262:-
PTPRF	+	0.47	BT474	0.91	HME	0.44	protein tyrosine phosphatase, receptor type, F,prote	chr1	43602070	43602097	chr1:43840329-43840355:+
PTPRF	+	0.49	cerebellum	0.51	MCF7	1.00	protein tyrosine phosphatase, receptor type, F,prote	chr1	43603610	43604189	chr1:43841869-43842447:+
PTPRF	+	0.74	MCF7	0	colon	0.74	protein tyrosine phosphatase, receptor type, F,prote	chr1	43612767	43612800	chr1:43851026-43851058:+
PRNPIP	-	0.3	cerebellum	1	brain	0.70	prion protein interacting protein,Homo sapiens clone	chr1	44247938	44248038	chr1:44486198-44486297:-
MUTYH,hMYH	-	0.42	cerebellum	0.58	MCF7	1.00	mutY homolog isoform 2,mutY homolog isoform 1,m	chr1	45332917	45333324	chr1:45571177-45571583:-
AKR1A1	+	0.3	lymphNode	0.13	testes	0.43	aldo-keto reductase family 1, member A1,aldo-keto	chr1	45552435	45552563	chr1:45790695-45790822:+
AKR1A1	+	0.26	breast	1	MCF7	0.74	aldo-keto reductase family 1, member A1,aldo-keto	chr1	45561788	45561873	chr1:45800048-45800132:+
AKR1A1	+	0.66	MCF7	0.34	adipose	1.00	aldo-keto reductase family 1, member A1,aldo-keto r	chr1	45568484	45568684	chr1:45806744-45806943:+
MMACHC	+	0.6	MB435	0.12	T47D	0.72	methylmalonic aciduria (cobalamin deficiency),methy	chr1	45607320	45608337	chr1:45845580-45846596:+
GPBP1L1	-	0.25	BT474	0.49	testes	0.74	GC-rich promoter binding protein 1-like 1,GC-rich pr	chr1	45685575	45685620	chr1:45923835-45923879:-
MMACHC	+	0.27	BT474	1	MB435	0.74	methylmalonic aciduria (cobalamin deficiency),meth	chr1	45690973	45691110	chr1:45929233-45929369:+
DKFZp686E14208	-	0.28	MCF7	1	testes	0.72	Hypothetical protein DKFZp686E14208 (MAP kinas	chr1	46561477	46561642	chr1:46799737-46799901:-
DKFZp686E14208	-	0.28	cerebellum	1	MB435	0.72	Hypothetical protein DKFZp686E14208 (MAP kinas	chr1	46580529	46580627	chr1:46818789-46818886:-
KIAA0494	-	0.3	MCF7	1	MB435	0.70	hypothetical protein LOC9813,hypothetical protein L	chr1	46688352	46688544	chr1:46926612-46926803:-
ZFYVE9	+	0.36	cerebellum	0.64	HME	1.00	zinc finger, FYVE domain containing 9 isoform 3,zinc	chr1	52266654	52266831	chr1:52504915-52505091:+
ZCCHC11	-	0.3	lymphNode	1	testes	0.70	zinc finger, CCHC domain containing 11 isoform,zin	chr1	52481422	52481635	chr1:52719683-52719895:-
ECHDC2	-	0.28	breast	1	testes	0.72	enoyl Coenzyme A hydratase domain containing 2	chr1	52897436	52897484	chr1:53135697-53135744:-
ECHDC2	-	0.55	cerebellum	1	BT474	0.45	enoyl Coenzyme A hydratase domain containing 2	chr1	52905033	52906611	chr1:53143294-53144871:-
ECHDC2	-	0.52	HME	0.31	liver	0.84	enoyl Coenzyme A hydratase domain containing 2	chr1	52906518	52906611	chr1:53144779-53144871:-
MAGOH	-	0.36	MCF7	0.94	lymphNode	0.57	mago-nashi homolog	chr1	53233541	53233652	chr1:53471802-53471912:-
LRP8	-	0.75	cerebellum	1	MB435	0.25	low density lipoprotein receptor-related protein,low d	chr1	53249379	53249556	chr1:53487640-53487816:-
YIPF1,DKFZp761P7	-	0.51	liver	1	testes	0.49	Yip1 domain family, member 1,Yip1 domain family, m	chr1	53883112	53883276	chr1:54121374-54121537:-
YIPF1,DKFZp761P7	-	0.67	HME	0.33	MB435	1.00	Yip1 domain family, member 1,Yip1 domain family, m	chr1	53889243	53889463	chr1:54127505-54127724:-
UNQ169,TMEM59	-	0.35	MCF7	1	skelMuscle	0.65	thymic dendritic cell-derived factor 1,thymic dendritic	chr1	54045691	54045786	chr1:54283953-54284047:-
CHD5,KIAA0444	-	0.27	cerebellum	0.74	testes	0.47	chromodomain helicase DNA binding protein 5,Hom	chr1	6106394	6106509	chr1:6089042-6089156:-
KIAA1439,NFIA,AF	+	0.31	BT474	1	T47D	0.69	nuclear factor I/A,Nuclear factor 1 A-type (Nuclear fa	chr1	61426464	61426556	chr1:61664725-61664816:+
PCCMT,ICMT	-	0.25	HME	0.75	MB435	1.00	isoprenylcysteine carboxyl methyltransferase,Homo	chr1	6233473	6233643	chr1:6216121-6216290:-
KIAA0833,CAMTA1	+	0.45	T47D	1	brain	0.55	calmodulin-binding transcription activator 1,CAMTA1	chr1	6820180	6820250	chr1:6802828-6802897:+
ZRANB2	-	0.31	breast	0.54	colon	0.85	zinc finger protein 265 isoform 2,zinc finger protein	chr1	71065677	71065752	chr1:71303949-71304023:-
ACADM	+	0.67	HME	1	colon	0.33	acyl-Coenzyme A dehydrogenase, C-4 to C-12,Hom	chr1	75728388	75728488	chr1:75966662-75966761:+
ACADM	+	0.55	HME	1	colon	0.45	acyl-Coenzyme A dehydrogenase, C-4 to C-12,Hom	chr1	75728400	75728488	chr1:75966674-75966761:+
NR_003042	+	0.25	cerebellum	1	heart	0.75	Rab geranylgeranyltransferase, beta subunit,Rab ge	chr1	75789158	75789356	chr1:76027432-76027629:+
NEXN	+	0.28	breast	0.72	heart	1.00	nexilin (F actin binding protein),Nexilin.,Homo sapie	chr1	77917565	77917757	chr1:78155839-78156030:+
NEXN	+	0.72	heart	0.97	skelMuscle	0.25	NA	chr1	77925187	77925229	chr1:78163461-78163502:+
ENO1,DKFZp666C0	-	0.35	cerebellum	0	skelMuscle	0.35	enolase 1,Alpha-enolase (EC 4.2.1.11) (2-phospho-	chr1	8870824	8870883	chr1:8853471-8853529:-
ZNF326	+	0.53	cerebellum	1	brain	0.47	zinc finger protein 326 isoform 2	chr1	90007344	90007750	chr1:90245492-90245897:+
KIAA0911,CLSTN1	-	0.33	cerebellum	1	testes	0.67	calsyntenin 1 isoform 1,calsyntenin 1 isoform 2,cals	chr1	9737497	9737554	chr1:9720143-9720199:-
SNX7	+	0.25	MCF7	1	lymphNode	0.75	sorting nexin 7 isoform a,sorting nexin 7 isoform b,	chr1	98738236	98738389	chr1:98976381-98976533:+
DKFZp666K145,HP	-	0.57	cerebellum	0.34	adipose	0.92	Homo sapiens mRNA; cDNA DKFZp666K145 (from	chr10	98429790	98429889	chr10:100179538-100179636:-
SEC31B,AF279139	-	0.35	cerebellum	1	lymphNode	0.65	Homo sapiens secretory pathway component Sec31	chr10	100490007	100490322	chr10:102239755-102240069:-
KIAA1813,LZTS2	+	0.27	cerebellum	1	lymphNode	0.73	leucine zipper, putative tumor suppressor 2,Homo s	chr10	101003506	101004166	chr10:102753254-102753913:+
RP11-529I10.4	+	0.26	MB435	0.74	T47D	1.00	DPCD protein	chr10	101608834	101608937	chr10:103358582-103358684:+
NPM3	-	0.37	MCF7	0.63	BT474	1.00	nucleophosmin/nucleoplasmin 3	chr10	101782838	101782924	chr10:103532586-103532671:-
n/a	-	0.51	MCF7	0.85	testes	0.34	n/a	chr10	103181230	103181328	chr10:104930978-104931075:-
GSTO2	+	0.35	HME	0.65	testes	1.00	glutathione S-transferase omega 2	chr10	104275225	104275334	chr10:106024974-106025082:+
MXI1	+	0.27	brain	1	skelMuscle	0.73	MAX interactor 1 isoform b,MAX interactor 1 isoform	chr10	110244827	110244873	chr10:111994576-111994621:+
SHOC2	+	0.79	HME	1	T47D	0.21	soc-2 suppressor of clear homolog,soc-2 suppressor	chr10	110964124	110965061	chr10:112713873-112714809:+
TCF7L2	+	0.3	adipose	0.36	colon	0.06	transcription factor 7-like 2 (T-cell specific,,Transcrip	chr10	113160618	113160691	chr10:114910368-114910440:+
NRAP	-	0.77	heart	0.07	skelMuscle	0.84	nebulin-related anchoring protein isoform S	chr10	113642933	113643038	chr10:115392683-115392787:-
ABLIM1,AK057834	-	0.95	cerebellum	0.05	HME	1.00	actin-binding LIM protein 1 isoform a,actin-binding LI	chr10	114447879	114448020	chr10:116197629-116197769:-
ABLIM1,AK057834	-	0.94	cerebellum	0.06	HME	1.00	actin-binding LIM protein 1 isoform a,actin-binding LI	chr10	114447879	114448026	chr10:116197629-116197775:-
ABLIM1,AK057834	-	0.74	HME	0.01	heart	0.75	actin-binding LIM protein 1 isoform a,actin-binding LI	chr10	114453378	114453483	chr10:116203128-116203232:-
C10orf84	-	0.66	cerebellum	0.21	skelMuscle	0.87	hypothetical protein LOC63877	chr10	118341726	118341927	chr10:120091229-120091429:-
C10orf119	-	0.39	cerebellum	1	skelMuscle	0.61	chromosome 10 open reading frame 119,Homo sapi	chr10	119835539	119835704	chr10:121585042-121585206:-
BRWD2,AX747838,	+	0.36	HME	1	T47D	0.64	bromodomain and WD repeat domain containing 2,H	chr10	120890715	120890887	chr10:122640218-122640389:+
K-sam,FGFR2	-	0.31	cerebellum	0.69	T47D	1.00	fibroblast growth factor receptor 2 isoform 1,fibrobla	chr10	121565437	121565704	chr10:123314942-123315208:-
PLEKHA1	+	0.98	HME	0.02	colon	1.00	Homo sapiens mRNA for pleckstrin homology domai	chr10	122428275	122428316	chr10:124177782-124177822:+
PLEKHA1	+	0.98	HME	0.02	colon	1.00	Homo sapiens mRNA for pleckstrin homology domai	chr10	122428275	122428346	chr10:124177782-124177852:+
PLEKHA1	+	0.99	HME	0.01	colon	1.00	Homo sapiens mRNA for pleckstrin homology domai	chr10	122428275	122428420	chr10:124177782-124177926:+
DPYSL4	+	0.36	cerebellum	1	testes	0.65	dihydropyrimidinase-like 4	chr10	132202645	132202825	chr10:133866140-133866319:+
ZNF511	+	0.31	cerebellum	1	lymphNode	0.69	Zinc finger protein 511.,Homo sapiens cDNA FLJ34	chr10	133309775	133309977	chr10:134973270-134973471:+
SUV39H2	+	0.76	MB435	0.24	testes	1.00	Histone-lysine N-methyltransferase, H3 lysine-9 spe	chr10	14881499	14881645	chr10:14963505-14963650:+
RSU1	-	0.38	MCF7	0.93	heart	0.55	ras suppressor protein 1 isoform 1,ras suppressor pr	chr10	16816972	16817084	chr10:16898978-16899089:-
KIAA1217,DKFZp68	+	0.78	adipose	0.8	skelMuscle	0.02	hypothetical protein LOC56243,hypothetical protein	chr10	24494499	24494604	chr10:24823435-24823539:+
KIAA1217,DKFZp68	+	0.56	adipose	0.15	skelMuscle	0.70	hypothetical protein LOC56243,hypothetical protein	chr10	24542692	24542770	chr10:24871628-24871705:+
KIAA1217,DKFZp68	+	0.76	breast	1	MB435	0.24	hypothetical protein LOC56243,hypothetical protein	chr10	24542882	24544481	chr10:24871818-24873416:+
ZMYND11	+	0.64	HME	1	skelMuscle	0.37	zinc finger, MYND domain containing 11 isoform,zin	chr10	221194	221356	chr10:257135-257296:+
ABI1	-	0.73	cerebellum	1	lymphNode	0.27	abl-interactor 1 isoform a,abl-interactor 1 isoform b,a	chr10	26755654	26755741	chr10:27084590-27084676:-
ABI1	-	0.51	breast	1	brain	0.49	abl-interactor 1 isoform a,abl-interactor 1 isoform b,a	chr10	26759061	26759235	chr10:27087997-27088170:-
ABI1	-	0.5	breast	1	brain	0.50	abl-interactor 1 isoform a,abl-interactor 1 isoform b,a	chr10	26759061	26759238	chr10:27087997-27088173:-
ABI1	-	0.72	cerebellum	1	lymphNode	0.28	NA	chr10	26771074	26771089	chr10:27100010-27100024:-
n/a	-	0.58	cerebellum	1	breast	0.42	n/a	chr10	28595732	28596041	chr10:28924668-28924976:-
WAC	+	0.58	cerebellum	1	breast	0.42	WW domain-containing adapter with a coiled-coil,W	chr10	28595732	28596041	chr10:28924668-28924976:+
BC070247,SVIL	-	0.47	colon	0.53	heart	1.00	supervillin isoform 2,Homo sapiens cDNA clone IMA	chr10	29526960	29527056	chr10:29855896-29855991:-
DKFZp434L0130	-	0.29	cerebellum	0.78	MB435	0.49	Rho GTPase activating protein 12,Rho GTPase acti	chr10	31854065	31854206	chr10:32183000-32183140:-
NRP1	-	0.57	heart	1	lymphNode	0.43	NA	chr10	33182697	33182748	chr10:33511632-33511682:-
AX765705,PARD3	-	0.25	MCF7	0.76	skelMuscle	1.00	partitioning-defective protein 3 homolog,partitioning-	chr10	34450316	34450448	chr10:34779251-34779382:-
KLF6	-	0.25	cerebellum	1	breast	0.75	Krueppel-like factor 6 (Core promoter element-bindin	chr10	3780105	3780229	chr10:3812298-3812421:-
SYT15	-	0.31	cerebellum	1	lymphNode	0.69	synaptotagmin XV isoform a,synaptotagmin XV isof	chr10	46580163	46580368	chr10:46389255-46389459:-
FBXO18	+	0.53	adipose	0.47	testes	1.00	F-box only protein, helicase, 18 isoform 2,F-box only	chr10	5903019	5903175	chr10:5984989-5985144:+
FBXO18	+	0.33	cerebellum	1	adipose	0.67	F-box only protein, helicase, 18 isoform 2,F-box onl	chr10	5906036	5906632	chr10:5988006-5988601:+
DKFZp566P0524,A	-	0.7	MCF7	1	brain	0.30	ankyrin 3 isoform 1,ankyrin 3 isoform 1,Ankyrin 3 iso	chr10	60059697	60060006	chr10:61489462-61489770:-
DKFZp566P0524,A	-	0.99	BT474	0.01	brain	1.00	ankyrin 3 isoform 1,ankyrin 3 isoform 1,Ankyrin 3 iso	chr10	60068636	60076448	chr10:61498401-61506212:-
PFKFB3	+	0.63	adipose	0.02	skelMuscle	0.66	6-phosphofructo-2-kinase/fructose-2,,Homo sapiens	chr10	6228195	6228218	chr10:6310165-6310187:+
CCAR1	+	0.27	cerebellum	1	HME	0.73	cell-cycle and apoptosis regulatory protein 1,Homo	chr10	68722454	68722577	chr10:70152218-70152340:+
CCAR1	+	0.25	MCF7	1	T47D	0.76	cell-cycle and apoptosis regulatory protein 1,Homo s	chr10	68756272	68756483	chr10:70186036-70186246:+
TSPAN15	+	0.31	cerebellum	1	skelMuscle	0.69	transmembrane 4 superfamily member 15	chr10	69483690	69483876	chr10:70913453-70913638:+
SAR1A	-	0.54	breast	1	colon	0.46	SAR1a gene homolog 1	chr10	70161618	70161738	chr10:71591381-71591500:-
SAR1A	-	0.49	cerebellum	1	colon	0.51	SAR1a gene homolog 1	chr10	70161618	70161931	chr10:71591381-71591693:-
LRRC20	-	0.34	heart	0.66	skelMuscle	1.00	leucine rich repeat containing 20 isoform 1	chr10	70376451	70376596	chr10:71806214-71806358:-
C10orf104	+	0.31	T47D	0.52	testes	0.22	hypothetical protein LOC119504,hypothetical protei	chr10	72220053	72220379	chr10:73649818-73650143:+
C10orf104	+	0.34	T47D	0.5	testes	0.16	hypothetical protein LOC119504,hypothetical protei	chr10	72220059	72220379	chr10:73649824-73650143:+
C10orf104	+	0.44	BT474	0.87	lymphNode	0.43	hypothetical protein LOC119504,hypothetical protei	chr10	72223887	72224056	chr10:73653652-73653820:+
ANXA7	-	0.31	breast	1	BT474	0.69	annexin VII isoform 2,annexin VII isoform 1,annexin	chr10	73400802	73400857	chr10:74830567-74830621:-
PPP3CB	-	0.82	cerebellum	1	colon	0.18	protein phosphatase 3 (formerly 2B), catalytic,protei	chr10	73439871	73439901	chr10:74869636-74869665:-
CAMK2G	-	0.36	T47D	0.27	brain	0.63	calcium/calmodulin-dependent protein kinase II,calci	chr10	73819531	73819645	chr10:75249296-75249409:-
n/a	+	0.66	HME	0.23	colon	0.89	vinculin isoform meta-VCL	chr10	74111908	74112112	chr10:75541673-75541876:+
ATP5C1	+	1	MCF7	1	skelMuscle	0.00	ATP synthase, H+ transporting, mitochondrial F1,AT	chr10	7806973	7807010	chr10:7888943-7888979:+
RPS24	+	0.68	cerebellum	0.68	MB435	0.00	ribosomal protein S24 isoform a,ribosomal protein S	chr10	78037438	78040225	chr10:79467203-79469989:+
RPS24	+	0.87	BT474	0	skelMuscle	0.87	ribosomal protein S24 isoform a,ribosomal protein S	chr10	78037964	78037982	chr10:79467729-79467746:+
RPS24	+	0.76	BT474	0	skelMuscle	0.76	ribosomal protein S24 isoform a,ribosomal protein S	chr10	78037964	78037993	chr10:79467729-79467757:+
RPS24	+	0.89	cerebellum	0.99	MB435	0.10	ribosomal protein S24 isoform a,ribosomal protein S	chr10	78040203	78040225	chr10:79469968-79469989:+
ZMIZ1	+	0.52	MCF7	0.89	lymphNode	0.36	retinoic acid induced 17,retinoic acid induced 17,reti	chr10	79310923	79311184	chr10:80740687-80740947:+
ANXA11	-	0.35	MCF7	0.83	colon	0.48	annexin A11,annexin A11,	chr10	80176106	80176155	chr10:81925843-81925891:-
AK026621,TSPAN1	+	0.49	BT474	0.78	MB435	0.28	tetraspanin 14,tetraspanin 14,Homo sapiens cDNA:	chr10	80468546	80468687	chr10:82218283-82218423:+
AK026621,TSPAN1	+	0.29	breast	1	MCF7	0.72	tetraspanin 14,tetraspanin 14,Homo sapiens cDNA:	chr10	80509300	80509471	chr10:82259037-82259207:+
LARP5	-	0.32	cerebellum	1	adipose	0.68	La ribonucleoprotein domain family, member 5	chr10	825064	825316	chr10:861005-861256:-
C10orf116	+	0.51	cerebellum	1	BT474	0.49	adipose specific 2	chr10	86970199	86970262	chr10:88719937-88719999:+
FER1L3	-	0.52	MCF7	0.48	MB435	1.00	Fer-1-like 3, myoferlin (C. elegans).	chr10	93392916	93392955	chr10:95142664-95142702:-
CLP-36,PDLIM1	-	0.3	breast	0.7	MCF7	1.00	PDZ and LIM domain 1 (elfin),Homo sapiens mRNA	chr10	95271632	95271784	chr10:97021380-97021531:-
SORBS1,KIAA1296	-	0.83	heart	0.17	skelMuscle	1.00	sorbin and SH3 domain containing 1 isoform 4,sorbi	chr10	95371325	95371427	chr10:97121073-97121174:-
SORBS1,KIAA1296	-	0.75	skelMuscle	1	testes	0.25	sorbin and SH3 domain containing 1 isoform 4,sorbi	chr10	95375972	95376056	chr10:97125720-97125803:-
SORBS1,KIAA1296	-	0.32	heart	0.68	skelMuscle	1.00	sorbin and SH3 domain containing 1 isoform 4,sorbi	chr10	95395000	95395075	chr10:97144748-97144822:-
SORBS1,KIAA1296	-	0.71	cerebellum	0.29	breast	1.00	NA	chr10	95414493	95414862	chr10:97164241-97164609:-
ZDHHC16	+	0.39	cerebellum	0.61	MCF7	1.00	Abl-philin 2 isoform 2,Abl-philin 2 isoform 2,	chr10	97452089	97452284	chr10:99201837-99202031:+
ZDHHC16	+	0.28	HME	1	lymphNode	0.72	Abl-philin 2 isoform 2,Abl-philin 2 isoform 2,	chr10	97453798	97453846	chr10:99203546-99203593:+
ZDHHC16	+	0.26	MCF7	0.74	BT474	1.00	Abl-philin 2 isoform 2,Abl-philin 2 isoform 2,	chr10	97455638	97455783	chr10:99205386-99205530:+
MMS19L,MMS19	-	0.59	HME	1	testes	0.41	MMS19-like (MET18 homolog, S. cerevisiae),MMS1	chr10	97476834	97476963	chr10:99226582-99226710:-
YAP1	+	0.4	adipose	0.36	colon	0.76	Yes-associated protein 1, 65 kD,Yes-associated prot	chr11	102186017	102186131	chr11:101561959-101562072:+
YAP1	+	0.44	adipose	0.3	colon	0.74	Yes-associated protein 1, 65 kD,Yes-associated prot	chr11	102186017	102186137	chr11:101561959-101562078:+
KBTBD3	-	0.48	T47D	1	brain	0.52	BTB and kelch domain containing 3,BTB and kelch d	chr11	106076506	106076707	chr11:105452444-105452644:-
MRVI1,AK002039	-	0.28	adipose	1	brain	0.72	JAW1-related protein isoform b,JAW1-related protei	chr11	10625965	10626583	chr11:10604089-10604706:-
EIF4G2,CR611226	-	0.64	cerebellum	1	liver	0.36	eukaryotic translation initiation factor 4,eukaryotic tra	chr11	10801660	10801774	chr11:10779784-10779897:-
KIAA0999	-	0.67	breast	1	brain	0.33	KIAA0999 protein,KIAA0999 protein.,KIAA0999 prot	chr11	116867945	116868089	chr11:116243872-116244015:-
KIAA0999	-	0.38	brain	0.51	testes	0.89	KIAA0999 protein,KIAA0999 protein.,KIAA0999 prot	chr11	116875865	116876009	chr11:116251792-116251935:-
UNQ2531,TMEM25	+	0.45	adipose	0.55	colon	1.00	transmembrane protein 25,Homo sapiens cDNA FLJ	chr11	118533419	118533551	chr11:117909345-117909476:+
PHLDB1,KIAA0638	+	0.4	cerebellum	0.45	breast	0.05	Homo sapiens mRNA for KIAA0638 protein, partial c	chr11	118634922	118635051	chr11:118010850-118010979:+
PHLDB1,KIAA0638	+	1	cerebellum	1	MB435	0.00	Homo sapiens mRNA for KIAA0638 protein, partial c	chr11	118642253	118642394	chr11:118018182-118018322:+
PHLDB1,KIAA0638	+	0.36	cerebellum	0.36	T47D	0.00	Homo sapiens mRNA for KIAA0638 protein, partial c	chr11	118644646	118644691	chr11:118020575-118020619:+
PHLDB1,KIAA0638	+	0.71	MB435	0	brain	0.71	Homo sapiens mRNA for KIAA0638 protein, partial c	chr11	118655859	118655892	chr11:118031780-118031812:+
